TGNR	has_bruker_maldi	code_count	codes	has_medianpeaks	csv_file_count	run_accession	sample_accession	experiment_accession	inferred_year	phylogroup	phylogroup_rough	best_mash_dist	ST	is_ST131	one_representative_per_case	papG_variant	amr_gene_count	amr_genes	amr_products	vitek_CIP_result	vitek_CTR_result	vitek_MER_result	vitek_NFT_result	vitek_FOT_result	mic_vitek_CIP	mic_vitek_CTR	mic_vitek_MER	mic_vitek_NFT	mic_vitek_FOT	etest_CIP_result	etest_CTR_result	mic_etest_CIP	mic_etest_CTR
104349-20	False	0		False	0	ERR10176596	SAMEA111330858	ERX9713065	2020	B2-2	B2	0.0115447	95	False	True	no papG_papGII	4	blaEC-5;blaTEM-40;tet(34);tet(A)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;inhibitor-resistant class A broad-spectrum beta-lactamase TEM-40;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);tetracycline efflux MFS transporter Tet(A)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
104606-20	False	0		False	0	ERR10176597	SAMEA111330859	ERX9713066	2020	B2-2	B2	0.0101794	127	False	True	no papG_papGIII	6	aph(3'')-Ib;aph(6)-Id;blaEC-5;blaTEM-171;catA1;sul2	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A beta-lactamase TEM-171;sulfonamide-resistant dihydropteroate synthase Sul2;type A-1 chloramphenicol O-acetyltransferase	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
104977-19	True	0		True	4	ERR10176598	SAMEA111330860	ERX9713067	2019	B2-2	B2	0.0114687	95	False	True	no papG_papGII	4	blaCTX-M-14;blaEC-5;floR;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;chloramphenicol/florfenicol efflux MFS transporter FloR;class A extended-spectrum beta-lactamase CTX-M-14;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	resistent	sensibel	NA	NA	<=0.25	=32	<=0.25	NA	NA	sensibel	NA	=0.094	NA
105056-19	True	0		True	4	ERR10176599	SAMEA111330861	ERX9713068	2019	D1	D	0.00502299	69	False	True	no papG	3	blaEC-8;blaTEM-1;tet(A)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A broad-spectrum beta-lactamase TEM-1;tetracycline efflux MFS transporter Tet(A)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
105099-20	False	0		False	0	ERR10176600	SAMEA111330862	ERX9713069	2020	B2-2	B2	0.0106245	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
105252-19	True	0		True	4	ERR10176601	SAMEA111330863	ERX9713070	2019	D1	D	0.00474654	69	False	True	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
105320-19	True	0		True	4	ERR10176602	SAMEA111330864	ERX9713071	2019	B1	B1	0.00386677	58	False	True	no papG_papGV	6	aph(3'')-Ib;aph(6)-Id;blaEC-18;blaTEM-1;sul2;tet(34)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);sulfonamide-resistant dihydropteroate synthase Sul2	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
105436-19	True	0		True	4	ERR10176603	SAMEA111330865	ERX9713072	2019	B2-2	B2	0.00964976	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
106778-20	False	0		False	0	ERR10176604	SAMEA111330866	ERX9713073	2020	B2-1	B2	0.00144907	131	True	True	no papG	11	aadA5;aph(3'')-Ib;aph(6)-Id;blaCTX-M-27;blaEC-5;dfrA17;mph(A);qacEdelta1;sul1;sul2;tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-27;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
106799-19	False	0		False	0	ERR10176605	SAMEA111330867	ERX9713074	2019	B2-1	B2	0.000678494	131	True	True	no papG	12	aac(3)-IId;aadA5;aph(3'')-Ib;aph(6)-Id;blaEC-5;blaTEM-1;dfrA17;mph(A);qacEdelta1;sul1;sul2;tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside N-acetyltransferase AAC(3)-IId;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA17	resistent	sensibel	sensibel	NA	NA	>=4	<=1	<=0.25	NA	NA	NA	NA	NA	NA
106880-19	False	0		False	0	ERR10176606	SAMEA111330868	ERX9713075	2019	B2-1	B2	0.00229568	131	True	True	no papG_papGII	7	aac(3)-IIe;ant(3'')-Ih/aac(6')-IId;blaCTX-M-15;blaEC-5;blaOXA-1;catB3;tet(A)	aminoglycoside N-acetyltransferase AAC(3)-IIe;bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ih/aminoglycoside N-acetyltransferase AAC(6')-Iid;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-15;oxacillin-hydrolyzing class D beta-lactamase OXA-1;tetracycline efflux MFS transporter Tet(A);type B-3 chloramphenicol O-acetyltransferase CatB3	resistent	resistent	sensibel	NA	NA	>=4	>=64	<=0.25	NA	NA	NA	NA	NA	NA
107006-20	False	0		False	0	ERR10176607	SAMEA111330869	ERX9713076	2020	B2-1	B2	0.00209147	131	True	True	no papG_papGII	11	aac(3)-IIe;ant(3'')-Ih/aac(6')-IId;blaCTX-M-15;blaEC-5;blaOXA-1;blaTEM-15;catB3;mph(A);qacEdelta1;sul1;tet(A)	Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside N-acetyltransferase AAC(3)-IIe;bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ih/aminoglycoside N-acetyltransferase AAC(6')-Iid;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-15;class A extended-spectrum beta-lactamase TEM-15;oxacillin-hydrolyzing class D beta-lactamase OXA-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;tetracycline efflux MFS transporter Tet(A);type B-3 chloramphenicol O-acetyltransferase CatB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
107068-19	False	0		False	0	ERR10176608	SAMEA111330870	ERX9713077	2019	B2-2	B2	0.00302611	104	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
107096-19	False	0		False	0	ERR10176609	SAMEA111330871	ERX9713078	2019	D1	D	0.00262204	69	False	True	no papG_papGIV	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
107962-20	False	0		False	0	ERR10176610	SAMEA111330872	ERX9713079	2020	B2-1	B2	0.00186034	131	True	True	no papG_papGII	5	ant(3'')-Ih/aac(6')-IId;blaCTX-M-15;blaEC-5;blaOXA-1;catB3	bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ih/aminoglycoside N-acetyltransferase AAC(6')-Iid;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-15;oxacillin-hydrolyzing class D beta-lactamase OXA-1;type B-3 chloramphenicol O-acetyltransferase CatB3	resistent	resistent	sensibel	NA	NA	>=4	>=64	<=0.25	NA	NA	NA	NA	NA	NA
108013-20	False	0		False	0	ERR10176611	SAMEA111330873	ERX9713080	2020	B2-2	B2	0.00205633	73	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
108036-19	False	0		False	0	ERR10176612	SAMEA111330874	ERX9713081	2019	B1	B1	0.0103182	1431	False	True	no papG	14	aadA1;aadA2;aph(3'')-Ib;aph(6)-Id;blaEC-13;blaTEM-1;cmlA1;dfrA5;estX/sat2;mcr-1.2;mef(B);sul2;sul3;tet(34)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;bifunctional putative esterase EstX/streptothricin N-acetyltransferase Sat1;chloramphenicol efflux MFS transporter CmlA1;class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-13;macrolide efflux MFS transporter Mef(B);oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);phosphoethanolamine--lipid A transferase MCR-1.2;sulfonamide-resistant dihydropteroate synthase Sul2;sulfonamide-resistant dihydropteroate synthase Sul3;trimethoprim-resistant dihydrofolate reductase DfrA5	resistent	sensibel	sensibel	NA	NA	>=4	<=1	<=0.25	NA	NA	NA	NA	NA	NA
108473-19	False	0		False	0	ERR10176613	SAMEA111330875	ERX9713082	2019	A	A	0.010234	NF*	False	True	no papG	2	blaEC-15;tet(34)	class C extended-spectrum beta-lactamase EC-15;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
108494-19	False	0		False	0	ERR10176614	SAMEA111330876	ERX9713083	2019	D1	D	0.0045147	69	False	True	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
108798-19	False	0		False	0	ERR10176615	SAMEA111330877	ERX9713084	2019	B1	B1	0.00831925	2307	False	True	no papG	2	blaEC-18;tet(34)	class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
108842-19	False	0		False	0	ERR10176616	SAMEA111330878	ERX9713085	2019	B2-2	B2	0.0125828	404	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
109114-19	False	0		False	0	ERR10176617	SAMEA111330879	ERX9713086	2019	B2-2	B2	0.0100874	141	False	True	no papG_papGIII	1	blaEC-19	class C extended-spectrum beta-lactamase EC-19	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
109171-19	False	0		False	0	ERR10176618	SAMEA111330880	ERX9713087	2019	D1	D	0.00455833	69	False	False	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
109327-20	False	0		False	0	ERR10176619	SAMEA111330881	ERX9713088	2020	B2-2	B2	0.00234506	73	False	True	no papG_papGII	2	blaEC-5;blaTEM-1	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1														
109532-19	False	0		False	0	ERR10176620	SAMEA111330882	ERX9713089	2019	D1	D	0.0028639	69	False	False	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
109627-20	False	0		False	0	ERR10176621	SAMEA111330883	ERX9713090	2020	F	F	0.00828874	648	False	True	no papG	7	aac(3)-IId;arr-2;blaEC-19;blaTEM-1;catA1;tet(34);tet(B)	NAD(+)--rifampin ADP-ribosyltransferase Arr-2;aminoglycoside N-acetyltransferase AAC(3)-IId;class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-19;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);tetracycline efflux MFS transporter Tet(B);type A-1 chloramphenicol O-acetyltransferase														
109725-20	False	0		False	0	ERR10176622	SAMEA111330884	ERX9713091	2020	B2-2	B2	0.0141199	1193	False	True	no papG	10	aadA5;aph(3'')-Ib;aph(6)-Id;blaEC-5;dfrA17;mph(A);qacEdelta1;sul1;sul2;tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA17	resistent	sensibel	sensibel	NA	NA	>=4	<=1	<=0.25	NA	NA	NA	NA	NA	NA
109749-19	False	0		False	0	ERR10176623	SAMEA111330885	ERX9713092	2019	D1	D	0.00453962	69	False	True	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
109841-19	False	0		False	0	ERR10176624	SAMEA111330886	ERX9713093	2019	D1	D	0.00246637	69	False	True	no papG_papGII	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
109915-20	False	0		False	0	ERR10176625	SAMEA111330887	ERX9713094	2020	B2-1	B2	0.00191113	131	True	False	no papG_papGII	5	ant(3'')-Ih/aac(6')-IId;blaCTX-M-15;blaEC-5;blaOXA-1;catB3	bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ih/aminoglycoside N-acetyltransferase AAC(6')-Iid;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-15;oxacillin-hydrolyzing class D beta-lactamase OXA-1;type B-3 chloramphenicol O-acetyltransferase CatB3	resistent	resistent	sensibel	NA	NA	>=4	>=64	<=0.25	NA	NA	NA	NA	NA	NA
110188-20	False	0		False	0	ERR10176626	SAMEA111330888	ERX9713095	2020	D3	D	0.0144511	38	False	True	no papG	7	aph(3'')-Ib;aph(6)-Id;blaEC-8;blaTEM-1;dfrA14;sul2;tet(A)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A broad-spectrum beta-lactamase TEM-1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA14	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
110420-20	False	0		False	0	ERR10176627	SAMEA111330889	ERX9713096	2020	D3	D	0.0148135	38	False	False	no papG_papGV	7	aph(3'')-Ib;aph(6)-Id;blaEC-8;blaTEM-1;dfrA14;sul2;tet(A)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A broad-spectrum beta-lactamase TEM-1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
110833-20	False	0		False	0	ERR10176628	SAMEA111330890	ERX9713097	2020	B2-1	B2	0.00139967	131	True	True	no papG_papGII	14	aadA5;ant(3'')-Ih/aac(6')-IId;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaEC-5;blaOXA-1;catB3;dfrA17;mph(A);qacEdelta1;sul1;sul2;tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ih/aminoglycoside N-acetyltransferase AAC(6')-Iid;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-15;oxacillin-hydrolyzing class D beta-lactamase OXA-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA17;type B-3 chloramphenicol O-acetyltransferase CatB3														
112304-19	False	0		False	0	ERR10176629	SAMEA111330891	ERX9713098	2019	D1	D	0.00493993	69	False	True	no papG	2	blaEC-8;tet(B)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;tetracycline efflux MFS transporter Tet(B)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
113047-19	False	0		False	0	ERR10176630	SAMEA111330892	ERX9713099	2019	B2-2	B2	0.0100748	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113269-19	False	0		False	0	ERR10176631	SAMEA111330893	ERX9713100	2019	A	A	0.0128863	1972	False	True	no papG	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
