site,drug_a,drug_b,n_both_known,n_ss,n_sr,n_rs,n_rr,prevalence_a,prevalence_b,p_rr_observed,p_rr_expected_independent,rr_lift,log2_rr_lift,odds_ratio_haldane,log2_odds_ratio,phi,resistant_jaccard
ALL,Ceftriaxone,Ceftazidime,4349,3799,27,77,446,0.120258,0.108761,0.102552,0.0130793,7.84082,2.971,796.001,9.63663,0.883538,0.810909
ALL,Ceftriaxone,Cefepime,3956,3540,12,121,283,0.102123,0.0745703,0.0715369,0.00761537,9.39376,3.2317,660.893,9.36827,0.803566,0.680288
ALL,Ceftazidime,Cefepime,3907,3530,17,89,271,0.0921423,0.0737138,0.0693627,0.00679216,10.2122,3.35222,611.991,9.25737,0.827912,0.718833
DRIAMS-B,Ciprofloxacin,Norfloxacin,209,141,10,0,58,0.277512,0.325359,0.277512,0.090291,3.07353,1.6199,1576.71,10.6227,0.892443,0.852941
DRIAMS-B,Ciprofloxacin,Amoxicillin-Clavulanic acid,197,117,24,20,36,0.284264,0.304569,0.182741,0.0865779,2.11071,1.07773,8.53907,3.09408,0.463236,0.45
DRIAMS-B,Ciprofloxacin,Ceftriaxone,212,144,10,24,34,0.273585,0.207547,0.160377,0.0567818,2.82445,1.49797,19.379,4.27642,0.573004,0.5
DRIAMS-B,Ciprofloxacin,Ceftazidime,212,144,10,24,34,0.273585,0.207547,0.160377,0.0567818,2.82445,1.49797,19.379,4.27642,0.573004,0.5
DRIAMS-B,Ciprofloxacin,Cefepime,212,147,7,23,35,0.273585,0.198113,0.165094,0.0542008,3.04598,1.60691,29.7092,4.89284,0.624101,0.538462
DRIAMS-B,Norfloxacin,Amoxicillin-Clavulanic acid,195,109,20,25,41,0.338462,0.312821,0.210256,0.105878,1.98584,0.989751,8.69297,3.11985,0.47577,0.476744
DRIAMS-B,Norfloxacin,Ceftriaxone,210,135,6,30,39,0.328571,0.214286,0.185714,0.0704082,2.63768,1.39927,26.9975,4.75475,0.598286,0.52
DRIAMS-B,Norfloxacin,Ceftazidime,210,135,6,30,39,0.328571,0.214286,0.185714,0.0704082,2.63768,1.39927,26.9975,4.75475,0.598286,0.52
DRIAMS-B,Norfloxacin,Cefepime,210,136,5,31,38,0.328571,0.204762,0.180952,0.0672789,2.68959,1.42738,30.3333,4.92283,0.599751,0.513514
DRIAMS-B,Amoxicillin-Clavulanic acid,Ceftriaxone,198,137,0,16,45,0.308081,0.227273,0.227273,0.0700184,3.2459,1.69862,758.333,9.56669,0.812748,0.737705
DRIAMS-B,Amoxicillin-Clavulanic acid,Ceftazidime,198,137,0,16,45,0.308081,0.227273,0.227273,0.0700184,3.2459,1.69862,758.333,9.56669,0.812748,0.737705
DRIAMS-B,Amoxicillin-Clavulanic acid,Cefepime,198,137,0,18,43,0.308081,0.217172,0.217172,0.0669064,3.2459,1.69862,646.622,9.33678,0.789339,0.704918
DRIAMS-B,Ceftriaxone,Ceftazidime,213,168,0,0,45,0.211268,0.211268,0.211268,0.044634,4.73333,2.24286,30667,14.9044,1,1
DRIAMS-B,Ceftriaxone,Cefepime,213,167,1,3,42,0.211268,0.201878,0.197183,0.0426503,4.62326,2.20891,1355.95,10.4051,0.943106,0.913043
DRIAMS-B,Ceftazidime,Cefepime,213,167,1,3,42,0.211268,0.201878,0.197183,0.0426503,4.62326,2.20891,1355.95,10.4051,0.943106,0.913043
DRIAMS-C,Ciprofloxacin,Norfloxacin,442,324,0,0,118,0.266968,0.266968,0.266968,0.0712721,3.74576,1.90526,153813,17.2308,1,1
DRIAMS-C,Ciprofloxacin,Amoxicillin-Clavulanic acid,880,553,139,99,89,0.213636,0.259091,0.101136,0.0553512,1.82717,0.869614,3.56897,1.83551,0.254957,0.272171
DRIAMS-C,Ciprofloxacin,Ceftriaxone,876,618,70,110,78,0.214612,0.16895,0.0890411,0.0362586,2.45572,1.29615,6.23244,2.6398,0.343106,0.302326
DRIAMS-C,Ciprofloxacin,Ceftazidime,878,625,68,114,71,0.210706,0.158314,0.0808656,0.0333578,2.42419,1.2775,5.70213,2.5115,0.319133,0.280632
DRIAMS-C,Ciprofloxacin,Cefepime,586,422,39,55,70,0.213311,0.186007,0.119454,0.0396772,3.01064,1.59007,13.5871,3.76416,0.500488,0.426829
DRIAMS-C,Norfloxacin,Amoxicillin-Clavulanic acid,439,263,58,62,56,0.268793,0.259681,0.127563,0.0698004,1.82753,0.869899,4.07186,2.02569,0.297157,0.318182
DRIAMS-C,Norfloxacin,Ceftriaxone,434,261,55,68,50,0.271889,0.241935,0.115207,0.0657797,1.75141,0.808519,3.4736,1.79643,0.259402,0.289017
DRIAMS-C,Norfloxacin,Ceftazidime,435,269,50,72,44,0.266667,0.216092,0.101149,0.0576245,1.75532,0.811733,3.27559,1.71175,0.239139,0.26506
DRIAMS-C,Norfloxacin,Cefepime,145,61,27,16,41,0.393103,0.468966,0.282759,0.184352,1.5338,0.617108,5.62479,2.4918,0.403722,0.488095
DRIAMS-C,Amoxicillin-Clavulanic acid,Ceftriaxone,888,592,68,148,80,0.256757,0.166667,0.0900901,0.0427928,2.10526,1.074,4.68886,2.22924,0.29052,0.27027
DRIAMS-C,Amoxicillin-Clavulanic acid,Ceftazidime,890,610,54,141,85,0.253933,0.15618,0.0955056,0.0396591,2.40816,1.26793,6.7686,2.75886,0.353436,0.303571
DRIAMS-C,Amoxicillin-Clavulanic acid,Cefepime,593,352,54,128,59,0.315346,0.190556,0.0994941,0.0600912,1.65572,0.727458,2.99486,1.58249,0.215921,0.244813
DRIAMS-C,Ceftriaxone,Ceftazidime,899,748,6,15,130,0.16129,0.151279,0.144605,0.0243999,5.92647,2.56717,969.521,9.92113,0.912098,0.860927
DRIAMS-C,Ceftriaxone,Cefepime,595,456,5,31,103,0.22521,0.181513,0.173109,0.0408785,4.23473,2.08227,272.714,8.09125,0.821272,0.741007
DRIAMS-C,Ceftazidime,Cefepime,592,455,10,29,98,0.214527,0.182432,0.165541,0.0391367,4.2298,2.08059,144.848,7.1784,0.797335,0.715328
DRIAMS-D,Ciprofloxacin,Amoxicillin-Clavulanic acid,1938,1396,171,226,145,0.191434,0.163055,0.0748194,0.0312143,2.39696,1.26121,5.23084,2.38704,0.300023,0.267528
DRIAMS-D,Ciprofloxacin,Ceftriaxone,1937,1522,45,233,137,0.191017,0.0939597,0.0707279,0.0179479,3.94073,1.97846,19.7043,4.30044,0.460171,0.33012
DRIAMS-D,Ciprofloxacin,Ceftazidime,1931,1519,45,247,120,0.190057,0.085448,0.062144,0.01624,3.8266,1.93606,16.2593,4.02319,0.41853,0.291262
DRIAMS-D,Ciprofloxacin,Cefepime,1874,1537,14,262,61,0.172359,0.0400213,0.0325507,0.00689802,4.71884,2.23843,24.8424,4.63473,0.346512,0.181009
DRIAMS-D,Amoxicillin-Clavulanic acid,Ceftriaxone,1993,1560,102,235,96,0.166081,0.0993477,0.0481686,0.0164998,2.91934,1.54564,6.23844,2.64119,0.28448,0.221709
DRIAMS-D,Amoxicillin-Clavulanic acid,Ceftazidime,1985,1579,80,228,98,0.164232,0.0896725,0.0493703,0.0147271,3.35235,1.74517,8.45812,3.08034,0.327279,0.241379
DRIAMS-D,Amoxicillin-Clavulanic acid,Cefepime,1921,1592,27,249,53,0.15721,0.041645,0.0275898,0.006547,4.21411,2.07523,12.4174,3.63429,0.289374,0.161094
DRIAMS-D,Ceftriaxone,Ceftazidime,1985,1775,19,33,158,0.0962217,0.0891688,0.079597,0.00857997,9.27707,3.21367,430.795,8.75086,0.845025,0.752381
DRIAMS-D,Ceftriaxone,Cefepime,1921,1792,2,50,77,0.0661114,0.0411244,0.0400833,0.00271879,14.743,3.88196,1100.35,10.1037,0.757255,0.596899
DRIAMS-D,Ceftazidime,Cefepime,1917,1793,2,45,77,0.0636411,0.0412102,0.0401669,0.00262266,15.3153,3.9369,1221.95,10.255,0.77373,0.620968
