site,drug,stratum_type,stratum_value,n,n_r,n_s,auc,mean_prob_r,mean_prob_s,adequacy_label,interpretation
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,1,1,0,,0.789848,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,35,30,5,0.606667,0.730422,0.699613,interpretable,signal_retained_in_stratum
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,3,3,0,,0.573193,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,29,22,7,0.363636,0.691986,0.752972,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,10,7,3,0.52381,0.742142,0.784875,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,8,5,3,1.0,0.82798,0.663988,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=R,7,7,0,,0.759279,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,5,0,5,,,0.48589,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,53,9,44,0.691919,0.798958,0.697675,interpretable,signal_retained_in_stratum
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=R,4,4,0,,0.869676,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,94,37,57,0.541963,0.556779,0.536666,interpretable,weak_or_reversed_in_stratum
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=U,3,3,0,,0.429893,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,7,2,5,0.2,0.563381,0.665386,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,2,2,0,,0.404171,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,2,0,,0.633903,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,2,1,1,0.0,0.498395,0.524914,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,1,0,,0.352409,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,342,51,291,0.49498,0.394684,0.399629,interpretable,weak_or_reversed_in_stratum
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=U|Ceftazidime=R|Cefepime=U,3,0,3,,,0.553124,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,7,5,2,0.7,0.706224,0.556637,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,3,2,1,0.5,0.459096,0.454631,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,10,8,2,0.9375,0.576922,0.350241,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,4,1,3,0.0,0.540125,0.832752,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,4,4,0,,0.472434,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,15,7,8,0.553571,0.651708,0.697508,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,1,0,,0.534434,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,567,108,459,0.560256,0.424562,0.40379,interpretable,borderline_in_stratum
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,14,7,7,0.326531,0.479227,0.58302,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,2,0,2,,,0.481098,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,2,1,1,1.0,0.881217,0.787736,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,1,1,0,,0.684056,,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,0,2,,,0.497558,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,12,7,5,0.457143,0.745333,0.768042,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,23,5,18,0.322222,0.449379,0.513635,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=U|Ceftazidime=R|Cefepime=S,2,0,2,,,0.569124,underpowered_low_n,do_not_overinterpret
A-2018,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=U|Ceftazidime=U|Cefepime=U,2,0,2,,,0.61867,underpowered_low_n,do_not_overinterpret
A-2018,FEP,background_resistance_burden,0,793,0,793,,,0.111876,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,background_resistance_burden,1,243,0,243,,,0.180662,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,background_resistance_burden,2,101,8,93,0.74328,0.657983,0.277544,interpretable,signal_retained_in_stratum
A-2018,FEP,background_resistance_burden,3,46,17,29,0.78499,0.711116,0.380517,interpretable,signal_retained_in_stratum
A-2018,FEP,background_resistance_burden,4,39,32,7,0.84375,0.698189,0.211992,interpretable,signal_retained_in_stratum
A-2018,FEP,background_resistance_burden,5,8,8,0,,0.440578,,underpowered_low_n,do_not_overinterpret
A-2018,FEP,background_resistance_burden_bin,multi,194,65,129,0.778414,0.664916,0.297136,interpretable,signal_retained_in_stratum
A-2018,FEP,background_resistance_burden_bin,none,793,0,793,,,0.111876,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,background_resistance_burden_bin,single,243,0,243,,,0.180662,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,8,8,0,,0.440578,,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S,4,0,4,,,0.0777328,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S,15,0,15,,,0.297476,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U,1,0,1,,,0.850696,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R,2,2,0,,0.475401,,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U,2,0,2,,,0.119523,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,36,0,36,,,0.203627,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=U|Ceftazidime=U,1,0,1,,,0.181721,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,33,30,3,0.755556,0.713041,0.391004,interpretable,signal_retained_in_stratum
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S,7,0,7,,,0.722048,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U,7,7,0,,0.774187,,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S,41,4,37,1.0,0.955808,0.317403,interpretable,signal_retained_in_stratum
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U,2,0,2,,,0.354366,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R,5,5,0,,0.684109,,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=S,3,0,3,,,0.90361,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U,5,0,5,,,0.248775,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,57,0,57,,,0.281149,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=U,5,0,5,,,0.491566,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S,6,0,6,,,0.83459,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,2,0,2,,,0.126055,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U,2,0,2,,,0.408351,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=R,1,0,1,,,0.0326676,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S,51,0,51,,,0.0933684,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,291,0,291,,,0.105053,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,7,5,2,1.0,0.649824,0.0883279,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U,4,0,4,,,0.208662,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=R,1,0,1,,,0.129576,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S,108,0,108,,,0.11529,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U,7,0,7,,,0.176533,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R,3,2,1,0.5,0.478098,0.0783312,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,459,0,459,,,0.103411,underpowered_low_resistant,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=U,7,0,7,,,0.339682,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S,18,0,18,,,0.213714,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S,5,0,5,,,0.205251,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R,2,2,0,,0.24222,,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U,2,0,2,,,0.20042,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,18,0,18,,,0.247604,underpowered_low_n,do_not_overinterpret
A-2018,FEP,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=U|Ceftazidime=R,2,0,2,,,0.267095,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,background_resistance_burden,0,791,5,786,0.826972,0.363019,0.138458,interpretable,signal_retained_in_stratum
A-2018,CAZ,background_resistance_burden,1,238,8,230,0.624457,0.361307,0.217535,interpretable,signal_retained_in_stratum
A-2018,CAZ,background_resistance_burden,2,108,24,84,0.639881,0.515268,0.340695,interpretable,signal_retained_in_stratum
A-2018,CAZ,background_resistance_burden,3,67,36,31,0.520609,0.666408,0.615214,interpretable,weak_or_reversed_in_stratum
A-2018,CAZ,background_resistance_burden,4,45,39,6,0.92735,0.709453,0.105518,interpretable,signal_retained_in_stratum
A-2018,CAZ,background_resistance_burden,5,8,8,0,,0.478958,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,background_resistance_burden_bin,multi,228,107,121,0.692361,0.634182,0.399364,interpretable,signal_retained_in_stratum
A-2018,CAZ,background_resistance_burden_bin,none,791,5,786,0.826972,0.363019,0.138458,interpretable,signal_retained_in_stratum
A-2018,CAZ,background_resistance_burden_bin,single,238,8,230,0.624457,0.361307,0.217535,interpretable,signal_retained_in_stratum
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=R,8,8,0,,0.478958,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=S,4,0,4,,,0.12279,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=U,9,7,2,1.0,0.623866,0.0709737,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=S,15,0,15,,,0.358843,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=R,2,2,0,,0.563402,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=U,1,1,0,,0.800193,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,36,0,36,,,0.246466,underpowered_low_resistant,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=R,30,30,0,,0.73916,,underpowered_low_susceptible,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=S,10,3,7,0.142857,0.417739,0.76774,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=U,27,22,5,0.227273,0.678801,0.891239,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=R,4,0,4,,,0.964651,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=S,37,0,37,,,0.368874,underpowered_low_resistant,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=U,3,0,3,,,0.154785,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=R,5,5,0,,0.720098,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=S,3,0,3,,,0.920266,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=U,10,7,3,0.904762,0.837138,0.582368,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,57,0,57,,,0.327689,underpowered_low_resistant,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Cefepime=S,6,0,6,,,0.868599,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=S,2,2,0,,0.162619,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=S,52,1,51,0.431373,0.0456716,0.119445,underpowered_low_resistant,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,291,0,291,,,0.133202,underpowered_low_resistant,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=U|Cefepime=U,3,3,0,,0.389763,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=R,5,5,0,,0.680635,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=S,2,2,0,,0.128055,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=U,9,8,1,0.5,0.425148,0.332322,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=S,109,1,108,0.75,0.193561,0.149634,underpowered_low_resistant,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=R,2,2,0,,0.491501,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=S,1,1,0,,0.0977289,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=U,5,2,3,0.0,0.070168,0.939086,underpowered_low_n,do_not_overinterpret
